group, stage          , team1                 , team2                 , venue                  , city           , country, date      , kickoff_et, team1_confederation, team1_fifa_rank, team1_coach        , team2_confederation, team2_fifa_rank, team2_coach        , team1_normalized      , team2_normalized      , team1_elo, team2_elo, team1_elo_rank, team2_elo_rank, team1_last5_wins, team2_last5_wins, team1_last5_draws, team2_last5_draws, team1_last5_losses, team2_last5_losses, team1_last5_goals_for, team2_last5_goals_for, team1_last5_goals_against, team2_last5_goals_against, team1_last5_goal_difference, team2_last5_goal_difference, elo_diff, elo_rank_diff, last5_goal_diff_difference, last5_win_difference
A    , Group Stage    , Mexico                , South Africa          , Estadio Azteca         , Mexico City    , Mexico , 2026-06-11, 20:00 ET  , CONCACAF           ,            15.0, Javier Aguirre     , CAF                ,            60.0, Hugo Broos         , Mexico                , South Africa          ,    1860.0,    1524.0,           20.0,           79.0,              5.0,              1.0,               0.0,               2.0,                0.0,                2.0,                  11.0,                   3.0,                       1.0,                       5.0, 10.0                       , -2.0                       , 336.0   , -59.0        , 12.0                      , 4.0
A    , Group Stage    , South Korea           , Czechia               , Estadio Akron          , Guadalajara    , Mexico , 2026-06-11, 22:00 ET  , AFC                ,            25.0, Hong Myung-bo      , UEFA               ,            41.0, Ivan Hasek         , South Korea           , Czechia               ,    1752.0,    1726.0,           33.0,           40.0,              3.0,              2.0,               0.0,               2.0,                2.0,                1.0,                   8.0,                  11.0,                       3.0,                       7.0, 5.0                        , 4.0                        , 26.0    , -7.0         , 1.0                       , 1.0
B    , Group Stage    , Canada                , Bosnia and Herzegovina, BMO Field              , Toronto        , Canada , 2026-06-12, 15:00 ET  , CONCACAF           ,            30.0, Jesse Marsch       , UEFA               ,            52.0, Sergej Barbarez    , Canada                , Bosnia and Herzegovina,    1784.0,    1594.0,           25.0,           66.0,              2.0,              0.0,               3.0,               4.0,                0.0,                1.0,                  10.0,                   4.0,                       2.0,                       7.0, 8.0                        , -3.0                       , 190.0   , -41.0        , 11.0                      , 2.0
D    , Group Stage    , USA                   , Paraguay              , SoFi Stadium           , Inglewood      , USA    , 2026-06-12, 21:00 ET  , CONCACAF           ,            16.0, Mauricio Pochettino, CONMEBOL           ,            64.0, Gustavo Alfaro     , United States         , Paraguay              ,    1721.0,    1833.0,           41.0,           22.0,              2.0,              3.0,               0.0,               0.0,                3.0,                2.0,                  10.0,                   9.0,                      12.0,                       7.0, -2.0                       , 2.0                        , -112.0  , 19.0         , -4.0                      , -1.0
B    , Group Stage    , Qatar                 , Switzerland           , Lumen Field            , Seattle        , USA    , 2026-06-13, 15:00 ET  , AFC                ,            35.0, Marquez Lopez      , UEFA               ,            19.0, Murat Yakin        , Qatar                 , Switzerland           ,    1425.0,    1889.0,           95.0,           16.0,              0.0,              2.0,               2.0,               3.0,                3.0,                0.0,                   1.0,                  10.0,                      11.0,                       4.0, -10.0                      , 6.0                        , -464.0  , 79.0         , -16.0                     , -2.0
D    , Group Stage    , Australia             , Türkiye               , MetLife Stadium        , East Rutherford, USA    , 2026-06-13, 12:00 ET  , AFC                ,            26.0, Tony Popovic       , UEFA               ,            42.0, Vincenzo Montella  , Australia             , Turkey                ,    1783.0,    1902.0,           26.0,           14.0,              3.0,              4.0,               1.0,               0.0,                1.0,                1.0,                   9.0,                   8.0,                       3.0,                       3.0, 6.0                        , 5.0                        , -119.0  , 12.0         , 1.0                       , -1.0
C    , Group Stage    , Brazil                , Morocco               , MetLife Stadium        , East Rutherford, USA    , 2026-06-13, 18:00 ET  , CONMEBOL           ,             6.0, Dorival Júnior     , CAF                ,             8.0, Walid Regragui     , Brazil                , Morocco               ,    1984.0,    1822.0,            5.0,           24.0,              3.0,              3.0,               1.0,               2.0,                1.0,                0.0,                  13.0,                  13.0,                       7.0,                       3.0, 6.0                        , 10.0                       , 162.0   , -19.0        , -4.0                      , 0.0
C    , Group Stage    , Haiti                 , Scotland              , Gillette Stadium       , Foxborough     , USA    , 2026-06-13, 21:00 ET  , CONCACAF           ,            83.0, Marc Collat        , UEFA               ,            47.0, Steve Clarke       , Haiti                 , Scotland              ,    1532.0,    1767.0,           77.0,           29.0,              1.0,              3.0,               1.0,               0.0,                3.0,                2.0,                   6.0,                   9.0,                       5.0,                       3.0, 1.0                        , 6.0                        , -235.0  , 48.0         , -5.0                      , -2.0
F    , Group Stage    , Sweden                , Tunisia               , Estadio BBVA           , Monterrey      , Mexico , 2026-06-14, 20:00 ET  , UEFA               ,            39.0, Jon Dahl Tomasson  , CAF                ,            40.0, Faouzi Benzarti    , Sweden                , Tunisia               ,    1719.0,    1636.0,           43.0,           58.0,              3.0,              1.0,               1.0,               1.0,                1.0,                3.0,                  14.0,                   2.0,                       9.0,                      11.0, 5.0                        , -9.0                       , 83.0    , -15.0        , 14.0                      , 2.0
F    , Group Stage    , Netherlands           , Japan                 , AT&T Stadium           , Arlington      , USA    , 2026-06-14, 16:00 ET  , UEFA               ,             7.0, Ronald Koeman      , AFC                ,            18.0, Hajime Moriyasu    , Netherlands           , Japan                 ,    1961.0,    1904.0,            8.0,           13.0,              2.0,              4.0,               2.0,               1.0,                1.0,                0.0,                   7.0,                   8.0,                       6.0,                       2.0, 1.0                        , 6.0                        , 57.0    , -5.0         , -5.0                      , -2.0
