provider,provider_match_id,date,stage,group,home_team,away_team,raw_home_team,raw_away_team,home_score,away_score,home_winner,away_winner,status,status_state,status_detail,display_clock,period,is_finished,is_live,is_scheduled,venue,city,country,source_note,fetched_at
espn,760415,2026-06-11T19:00Z,group-stage,A,Mexico,South Africa,Mexico,South Africa,2.0,0.0,True,False,Full Time,post,FT,90'+8',2.0,True,False,False,Estadio Banorte,Mexico City,Mexico,"FIFA World Cup, Group A",2026-06-29T16:08:37+00:00
espn,760414,2026-06-12T02:00Z,group-stage,A,South Korea,Czechia,South Korea,Czechia,2.0,1.0,True,False,Full Time,post,FT,90'+7',2.0,True,False,False,Estadio Akron,Guadalajara,Mexico,"FIFA World Cup, Group A",2026-06-29T16:08:37+00:00
espn,760416,2026-06-12T19:00Z,group-stage,B,Canada,Bosnia and Herzegovina,Canada,Bosnia-Herzegovina,1.0,1.0,False,False,Full Time,post,FT,90'+7',2.0,True,False,False,BMO Field,Toronto,Canada,"FIFA World Cup, Group B",2026-06-29T16:08:37+00:00
espn,760417,2026-06-13T01:00Z,group-stage,D,United States,Paraguay,United States,Paraguay,4.0,1.0,True,False,Full Time,post,FT,90'+9',2.0,True,False,False,SoFi Stadium,"Inglewood, California",USA,"FIFA World Cup, Group D",2026-06-29T16:08:37+00:00
espn,760420,2026-06-13T19:00Z,group-stage,B,Qatar,Switzerland,Qatar,Switzerland,1.0,1.0,False,False,Full Time,post,FT,90'+7',2.0,True,False,False,Levi's Stadium,"Santa Clara, California",USA,"FIFA World Cup, Group B",2026-06-29T16:08:37+00:00
espn,760419,2026-06-13T22:00Z,group-stage,C,Brazil,Morocco,Brazil,Morocco,1.0,1.0,False,False,Full Time,post,FT,90'+25',2.0,True,False,False,MetLife Stadium,"East Rutherford, New Jersey",USA,"FIFA World Cup, Group C",2026-06-29T16:08:37+00:00
espn,760418,2026-06-14T01:00Z,group-stage,C,Haiti,Scotland,Haiti,Scotland,0.0,1.0,False,True,Full Time,post,FT,90'+8',2.0,True,False,False,Gillette Stadium,"Foxborough, Massachusetts",USA,"FIFA World Cup, Group C",2026-06-29T16:08:37+00:00
espn,760421,2026-06-14T04:00Z,group-stage,D,Australia,Turkey,Australia,Türkiye,2.0,0.0,True,False,Full Time,post,FT,90'+6',2.0,True,False,False,BC Place,Vancouver,Canada,"FIFA World Cup, Group D",2026-06-29T16:08:37+00:00
espn,760422,2026-06-14T17:00Z,group-stage,E,Germany,Curaçao,Germany,Curaçao,7.0,1.0,True,False,Full Time,post,FT,90'+6',2.0,True,False,False,NRG Stadium,"Houston, Texas",USA,"FIFA World Cup, Group E",2026-06-29T16:08:37+00:00
espn,760425,2026-06-14T20:00Z,group-stage,F,Netherlands,Japan,Netherlands,Japan,2.0,2.0,False,False,Full Time,post,FT,90'+6',2.0,True,False,False,AT&T Stadium,"Arlington, Texas",USA,"FIFA World Cup, Group F",2026-06-29T16:08:37+00:00
